id,country_id/id,state_id/id,name
lcda_lg_1,base.ng,state_ng_la,Agege
lcda_lg_2,base.ng,state_ng_la,Orile-Agege
lcda_lg_3,base.ng,state_ng_la,Ajeromi
lcda_lg_4,base.ng,state_ng_la,Ifelodun
lcda_lg_5,base.ng,state_ng_la,Alimosho
lcda_lg_6,base.ng,state_ng_la,Agbado/Oke-Odo
lcda_lg_7,base.ng,state_ng_la,Ayobo-Ipaja
lcda_lg_8,base.ng,state_ng_la,Egbe-Idimu
lcda_lg_9,base.ng,state_ng_la,Igando-Ikotun
lcda_lg_10,base.ng,state_ng_la,Mosan Okunola
lcda_lg_11,base.ng,state_ng_la,Amuwo-Odofin
lcda_lg_12,base.ng,state_ng_la,Oriade
lcda_lg_13,base.ng,state_ng_la,Apapa
lcda_lg_14,base.ng,state_ng_la,Apapa Iganmu
lcda_lg_15,base.ng,state_ng_la,Badagry
lcda_lg_16,base.ng,state_ng_la,Badagry West
lcda_lg_17,base.ng,state_ng_la,Olorunda
lcda_lg_18,base.ng,state_ng_la,Epe
lcda_lg_19,base.ng,state_ng_la,Eredo
lcda_lg_20,base.ng,state_ng_la,Ikosi Ejinrin
lcda_lg_21,base.ng,state_ng_la,Eti-Osa East
lcda_lg_22,base.ng,state_ng_la,Eti-Osa West
lcda_lg_23,base.ng,state_ng_la,Iru Victoria Island
lcda_lg_24,base.ng,state_ng_la,Ikoyi-Obalende
lcda_lg_25,base.ng,state_ng_la,Ibeju
lcda_lg_26,base.ng,state_ng_la,Lekki
lcda_lg_27,base.ng,state_ng_la,Ifako/Ijaiye
lcda_lg_28,base.ng,state_ng_la,Ojokoro
lcda_lg_29,base.ng,state_ng_la,Ikeja
lcda_lg_30,base.ng,state_ng_la,Ojodu
lcda_lg_31,base.ng,state_ng_la,Onigbongbo
lcda_lg_32,base.ng,state_ng_la,Ikorodu
lcda_lg_33,base.ng,state_ng_la,Ikorodu North
lcda_lg_34,base.ng,state_ng_la,Ikorodu West
lcda_lg_35,base.ng,state_ng_la,Imota
lcda_lg_36,base.ng,state_ng_la,Ijede
lcda_lg_37,base.ng,state_ng_la,Igbogbo-Baiyeku
lcda_lg_38,base.ng,state_ng_la,Kosofe
lcda_lg_39,base.ng,state_ng_la,Ikosi Isheri
lcda_lg_40,base.ng,state_ng_la,Agboyi-Ketu
lcda_lg_41,base.ng,state_ng_la,Lagos Island West
lcda_lg_42,base.ng,state_ng_la,Lagos Island East
lcda_lg_43,base.ng,state_ng_la,Lagos Mainland
lcda_lg_44,base.ng,state_ng_la,Yaba
lcda_lg_45,base.ng,state_ng_la,Mushin
lcda_lg_46,base.ng,state_ng_la,Odi-Olowo
lcda_lg_47,base.ng,state_ng_la,Ojo
lcda_lg_48,base.ng,state_ng_la,Oto Awori
lcda_lg_49,base.ng,state_ng_la,Iba
lcda_lg_50,base.ng,state_ng_la,Shomolu
lcda_lg_51,base.ng,state_ng_la,Bariga
lcda_lg_52,base.ng,state_ng_la,Ejigbo
lcda_lg_53,base.ng,state_ng_la,Isolo
lcda_lg_54,base.ng,state_ng_la,Oshodi
lcda_lg_55,base.ng,state_ng_la,Surulere
lcda_lg_56,base.ng,state_ng_la,Coker Aguda
lcda_lg_57,base.ng,state_ng_la,Itire-Ikate
lcda_fc_1,base.ng,state_ng_fc,Abaji
lcda_fc_2,base.ng,state_ng_fc,Abuja
lcda_fc_3,base.ng,state_ng_fc,Bwari
lcda_fc_4,base.ng,state_ng_fc,Gwagwalada
lcda_fc_5,base.ng,state_ng_fc,Kuje
lcda_fc_6,base.ng,state_ng_fc,Kwali
