id,country_id/id,name,code
state_ng_ab,base.ng,Abia,NG-AB
state_ng_ad,base.ng,Adamawa,NG-AD
state_ng_ak,base.ng,Akwa Ibom,NG-AK
state_ng_an,base.ng,Anambra,NG-AN
state_ng_ba,base.ng,Bauchi,NG-BA
state_ng_by,base.ng,Bayelsa,NG-BY
state_ng_be,base.ng,Benue,NG-BE
state_ng_bo,base.ng,Borno,NG-BO
state_ng_cr,base.ng,Cross River,NG-CR
state_ng_de,base.ng,Delta,NG-DE
state_ng_eb,base.ng,Ebonyi,NG-EB
state_ng_ed,base.ng,Edo,NG-ED
state_ng_ek,base.ng,Ekiti,NG-EK
state_ng_en,base.ng,Enugu,NG-EN
state_ng_go,base.ng,Gombe,NG-GO
state_ng_im,base.ng,Imo,NG-IM
state_ng_ji,base.ng,Jigawa,NG-JI
state_ng_ka,base.ng,Kaduna,NG-KA
state_ng_kn,base.ng,Kano,NG-KN
state_ng_kt,base.ng,Katsina,NG-KT
state_ng_ke,base.ng,Kebbi,NG-KE
state_ng_ko,base.ng,Kogi,NG-KO
state_ng_kw,base.ng,Kwara,NG-KW
state_ng_la,base.ng,Lagos,NG-LA
state_ng_na,base.ng,Nasarawa,NG-NA
state_ng_ni,base.ng,Niger,NG-NI
state_ng_og,base.ng,Ogun,NG-OG
state_ng_on,base.ng,Ondo,NG-ON
state_ng_os,base.ng,Osun,NG-OS
state_ng_oy,base.ng,Oyo,NG-OY
state_ng_pl,base.ng,Plateau,NG-PL
state_ng_ri,base.ng,Rivers,NG-RI
state_ng_so,base.ng,Sokoto,NG-SO
state_ng_ta,base.ng,Taraba,NG-TA
state_ng_yo,base.ng,Yobe,NG-YO
state_ng_za,base.ng,Zamfara,NG-ZA
state_ng_fc,base.ng,FCT,NG-FC
